5.033343,346,4,1,1,1,0
5.033343,346,5,2,1,1,0
5.033343,348,6,1,1,1,0
5.033343,347,6,2,1,1,0
5.033343,346,6,2,1,1,0
5.033343,345,6,1,1,1,0
5.05001,344,6,1,1,1,0
5.05001,345,5,1,1,1,0
5.05001,348,6,0,1,1,0
5.05001,347,6,2,1,1,0
5.05001,345,6,2,1,1,0
5.066677,344,5,1,1,1,0
5.10001,344,4,1,1,1,0
5.10001,345,4,1,1,1,0
5.10001,347,6,0,1,1,0
5.10001,346,6,2,1,1,0
5.10001,345,6,2,1,1,0
5.116677,336,4,1,1,1,0
5.116677,346,3,1,1,1,0
5.133344,345,3,1,1,1,0
5.15001,343,5,1,1,1,0
5.15001,345,6,2,1,1,0
5.166677,335,5,1,1,1,0
5.166677,336,5,1,1,1,0
5.166677,347,6,2,1,1,0
5.183344,336,3,1,1,1,0
5.20001,347,6,0,1,1,0
5.216677,335,3,1,1,1,0
5.233344,335,4,1,1,1,0
5.233344,346,5,2,1,1,0
5.233344,345,6,2,1,1,0
5.250011,337,4,1,1,1,0
5.266677,343,5,0,1,1,0
5.283344,336,2,1,1,1,0
5.283344,346,3,0,1,1,0
5.283344,345,4,0,1,1,0
5.283344,346,6,0,1,1,0
5.300011,344,5,0,1,1,0
5.300011,344,6,0,1,1,0
5.300011,346,5,0,1,1,0
5.300011,345,5,0,1,1,0
5.316677,344,4,0,1,1,0
5.316677,345,3,0,1,1,0
5.316677,346,4,0,1,1,0
5.316677,345,6,0,1,1,0
5.333344,335,5,2,1,1,0
5.350011,336,3,2,1,1,0
5.350011,334,4,1,1,1,0
5.350011,336,4,2,1,1,0
5.350011,334,5,1,1,1,0
5.350011,335,6,1,1,1,0
5.366677,335,3,2,1,1,0
5.366677,337,2,1,1,1,0
5.383344,336,6,1,1,1,0
5.400011,335,2,1,1,1,0
5.400011,335,4,2,1,1,0
5.400011,336,5,2,1,1,0
5.400011,337,3,1,1,1,0
5.416678,334,3,1,1,1,0
5.416678,335,5,3,1,1,0
5.416678,334,6,1,1,1,0
